blue_gold,red_gold,blue_cs,red_cs,blue_kills,red_kills,blue_deaths,red_deaths,blue_assists,red_assists,blue_dragons,red_dragons,blue_wards_placed,red_wards_placed,blue_wards_killed,red_wards_killed,blue_towerplates,red_towerplates,first_blood_blue,first_blood_red,first_dragon_blue,first_dragon_red,first_tower_blue,first_tower_red,gold_diff,cs_diff,kill_diff,death_diff,assist_diff,herald_diff,wards_placed_diff,wards_killed_diff,towerplates_diff,blue_mean_level,red_mean_level,diff_mean_level,blue_level7_count,red_level7_count,diff_level7_count,target
16152,16678,246,229,8,10,10,8,10,11,0,0,11,24,3,2,1,1,1,0,0,0,0,0,-526,17,-2,2,-1,0,-13,1,0,37.6,28.2,9.4,4,5,-1,0
18467,13530,272,224,13,3,3,13,12,2,0,0,28,11,2,3,3,0,1,0,0,0,0,0,4937,48,10,-10,10,0,17,-1,3,79.8,35.2,44.6,5,5,0,1
13510,20449,234,261,3,18,18,3,7,31,1,0,17,20,2,2,0,2,1,0,1,0,0,0,-6939,-27,-15,15,-24,0,-3,0,-2,25.4,20.2,5.2,4,4,0,0
19145,13977,265,216,15,4,4,15,23,9,0,0,26,19,5,3,1,0,1,0,0,0,0,0,5168,49,11,-11,14,0,7,2,1,54.6,31.6,23,3,2,1,1
15886,15688,262,258,6,8,8,6,10,4,0,1,11,16,3,1,0,0,0,1,0,1,0,0,198,4,-2,2,6,0,-5,2,0,11.8,22.2,-10.4,5,5,0,1
16764,15593,274,234,9,7,7,9,8,8,0,0,18,19,3,5,1,0,1,0,0,0,0,0,1171,40,2,-2,0,0,-1,-2,1,30.4,12.2,18.2,5,3,2,1
15439,16696,268,224,4,10,10,4,3,17,0,0,16,47,4,4,3,0,0,1,0,0,0,0,-1257,44,-6,6,-14,0,-31,0,3,12.6,101.2,-88.6,4,3,1,0
13709,15016,300,303,1,3,3,1,0,3,1,0,18,18,7,7,0,0,0,1,1,0,0,0,-1307,-3,-2,2,-3,0,0,0,0,39.4,13.4,26,5,4,1,0
17641,14286,292,248,9,4,4,9,9,2,0,0,20,15,3,3,6,0,1,0,0,0,0,0,3355,44,5,-5,7,0,5,0,6,17.6,26.2,-8.6,4,3,1,1
13664,14326,279,282,1,2,2,1,1,2,0,0,16,18,4,5,0,0,1,0,0,0,0,0,-662,-3,-1,1,-1,0,-2,-1,0,51,23.8,27.2,3,4,-1,1
15196,14472,289,309,5,1,1,5,5,1,1,0,17,19,6,2,0,1,1,0,1,0,0,0,724,-20,4,-4,4,0,-2,4,-1,73.6,80,-6.4,5,5,0,1
14858,15104,269,280,3,4,4,3,4,5,0,0,22,20,6,5,0,2,1,0,0,0,0,0,-246,-11,-1,1,-1,0,2,1,-2,78.8,20.4,58.4,4,5,-1,0
16329,17004,260,241,10,9,9,10,10,17,0,1,16,14,4,3,0,2,0,1,0,1,0,0,-675,19,1,-1,-7,0,2,1,-2,26.6,12,14.6,3,2,1,0
16036,16146,251,247,9,6,6,9,5,7,0,0,17,16,2,7,0,1,1,0,0,0,0,0,-110,4,3,-3,-2,0,1,-5,-1,17.8,30.2,-12.4,4,3,1,1
17161,15478,224,215,12,7,7,12,10,4,0,0,16,36,4,6,2,0,1,0,0,0,0,0,1683,9,5,-5,6,0,-20,-2,2,25.4,32.8,-7.4,3,5,-2,1
14856,13810,234,254,7,2,2,7,8,1,0,0,17,24,5,2,0,0,1,0,0,0,0,0,1046,-20,5,-5,7,0,-7,3,0,59.4,67.4,-8,4,5,-1,1
15102,13788,307,276,2,2,2,2,2,1,0,1,21,20,6,2,1,0,1,0,0,1,0,0,1314,31,0,0,1,0,1,4,1,48.4,9.4,39,3,3,0,1
17696,16193,271,249,10,9,9,10,11,8,0,0,16,12,1,2,1,0,1,0,0,0,0,0,1503,22,1,-1,3,0,4,-1,1,52,24,28,3,5,-2,1
17637,15747,305,288,8,4,4,8,12,5,1,0,27,15,5,4,1,1,0,1,1,0,0,0,1890,17,4,-4,7,0,12,1,0,16.8,13.8,3,4,5,-1,1
15403,15474,277,242,5,6,6,5,3,5,1,0,15,14,3,1,2,0,1,0,1,0,0,0,-71,35,-1,1,-2,0,1,2,2,11.4,27,-15.6,4,4,0,0
17240,13394,269,249,10,2,2,10,10,1,0,0,17,14,4,5,3,0,1,0,0,0,0,0,3846,20,8,-8,9,0,3,-1,3,90.8,32.8,58,3,4,-1,1
14930,17268,243,238,4,10,10,4,4,14,0,0,17,14,1,5,0,1,0,1,0,0,0,0,-2338,5,-6,6,-10,0,3,-4,-1,13.4,41.6,-28.2,4,3,1,0
13953,14962,283,286,1,3,3,1,1,4,0,1,16,46,2,5,1,1,0,1,0,1,0,0,-1009,-3,-2,2,-3,0,-30,-3,0,30.4,15.8,14.6,4,3,1,0
17157,15075,274,292,8,3,3,8,11,3,0,0,17,31,6,4,1,0,1,0,0,0,0,0,2082,-18,5,-5,8,0,-14,2,1,50.4,84.2,-33.8,5,4,1,1
15774,15190,254,266,6,4,4,6,9,5,0,1,15,18,1,0,1,0,1,0,0,1,0,0,584,-12,2,-2,4,0,-3,1,1,39.8,21.6,18.2,5,4,1,1
16142,16655,263,265,7,8,8,7,10,12,0,0,19,14,2,2,0,0,0,1,0,0,0,0,-513,-2,-1,1,-2,0,5,0,0,31.6,75.8,-44.2,5,5,0,0
15078,16114,265,268,5,8,8,5,7,9,0,1,40,14,1,2,2,0,1,0,0,1,0,0,-1036,-3,-3,3,-2,0,26,-1,2,109,25.6,83.4,5,4,1,0
11987,16688,192,268,1,9,9,1,0,11,0,1,30,22,0,4,0,2,0,1,0,1,0,0,-4701,-76,-8,8,-11,0,8,-4,-2,32,63.4,-31.4,5,5,0,0
15571,16239,273,295,5,7,7,5,5,6,0,1,19,18,4,3,0,1,0,1,0,1,0,0,-668,-22,-2,2,-1,0,1,1,-1,82,21.2,60.8,5,2,3,0
15999,16044,252,227,7,8,8,7,11,13,0,0,38,20,4,2,0,0,0,1,0,0,0,0,-45,25,-1,1,-2,0,18,2,0,22.8,85.8,-63,5,4,1,1
15252,14576,294,273,4,3,3,4,6,4,0,0,15,15,4,3,0,0,0,1,0,0,0,0,676,21,1,-1,2,0,0,1,0,55.8,14.8,41,5,4,1,1
14677,15648,287,307,2,4,4,2,1,2,0,0,22,13,3,5,2,1,0,1,0,0,0,0,-971,-20,-2,2,-1,0,9,-2,1,61.8,22.4,39.4,4,3,1,0
14861,13196,284,253,3,1,1,3,2,1,1,0,16,14,3,3,1,0,1,0,1,0,0,0,1665,31,2,-2,1,0,2,0,1,36.6,19.2,17.4,4,5,-1,0
14636,15741,291,260,3,7,7,3,3,8,0,1,15,38,6,3,2,2,0,1,0,1,0,0,-1105,31,-4,4,-5,0,-23,3,0,61.6,77.6,-16,4,4,0,1
16400,14539,287,231,9,4,4,9,6,2,0,0,21,18,4,2,0,0,1,0,0,0,0,0,1861,56,5,-5,4,0,3,2,0,14,116.6,-102.6,1,5,-4,1
15880,15648,249,265,8,6,6,8,8,6,0,0,16,18,2,0,1,0,1,0,0,0,0,0,232,-16,2,-2,2,0,-2,2,1,47.4,15,32.4,4,3,1,1
14663,15523,269,266,5,6,6,5,2,6,0,0,17,16,8,4,0,0,1,0,0,0,0,0,-860,3,-1,1,-4,0,1,4,0,22.6,23.4,-0.8,4,5,-1,1
14616,14483,287,284,3,3,3,3,3,5,0,0,21,16,1,2,1,0,1,0,0,0,0,0,133,3,0,0,-2,0,5,-1,1,16.2,37,-20.8,4,4,0,0
15380,17707,257,271,5,9,9,6,5,10,0,1,19,31,2,4,1,2,0,1,0,1,0,0,-2327,-14,-4,3,-5,0,-12,-2,-1,25.4,24.2,1.2,4,5,-1,1
14146,15149,267,257,3,6,6,3,2,7,0,1,22,17,3,1,0,0,0,1,0,1,0,0,-1003,10,-3,3,-5,0,5,2,0,78.4,18.4,60,5,4,1,0
15266,16274,250,247,6,9,9,6,6,17,0,0,14,18,2,5,1,1,1,0,0,0,0,0,-1008,3,-3,3,-11,0,-4,-3,0,16,18.4,-2.4,4,4,0,0
14004,16203,244,271,3,6,6,3,3,5,1,0,19,17,1,4,2,3,1,0,1,0,0,0,-2199,-27,-3,3,-2,0,2,-3,-1,13.8,23.8,-10,3,5,-2,0
13940,15512,234,262,5,6,6,5,5,5,0,0,16,25,3,1,0,1,1,0,0,0,0,0,-1572,-28,-1,1,0,0,-9,2,-1,60.6,14.8,45.8,4,3,1,1
14959,14843,262,267,5,4,4,5,4,4,0,1,16,16,2,4,0,2,0,1,0,1,0,0,116,-5,1,-1,0,0,0,-2,-2,17.4,10.8,6.6,3,3,0,0
14763,16886,245,268,4,8,9,4,4,15,0,0,19,20,3,1,1,2,1,0,0,0,0,0,-2123,-23,-4,5,-11,0,-1,2,-1,24.4,19.4,5,4,5,-1,1
15538,14919,286,293,5,3,3,5,5,3,0,0,19,32,8,3,0,2,1,0,0,0,0,0,619,-7,2,-2,2,0,-13,5,-2,35.2,53.6,-18.4,5,4,1,1
16684,14896,285,285,7,4,4,7,11,2,1,0,19,18,2,4,2,0,0,1,1,0,0,0,1788,0,3,-3,9,0,1,-2,2,27,106.8,-79.8,3,4,-1,0
15341,17053,249,259,4,8,8,4,9,15,0,0,18,16,1,8,2,4,1,0,0,0,0,0,-1712,-10,-4,4,-6,0,2,-7,-2,24.8,135.6,-110.8,4,4,0,1
14631,15592,264,258,3,5,5,3,5,11,0,0,17,15,1,1,3,2,0,1,0,0,0,0,-961,6,-2,2,-6,0,2,0,1,51.2,26.4,24.8,4,5,-1,0
15851,15668,230,279,8,5,5,8,9,2,0,0,18,19,3,2,2,2,1,0,0,0,0,0,183,-49,3,-3,7,0,-1,1,0,31.8,14.8,17,3,4,-1,0
16119,15102,228,248,9,5,5,9,16,10,0,0,18,22,6,4,0,0,1,0,0,0,0,0,1017,-20,4,-4,6,0,-4,2,0,40,13.8,26.2,5,4,1,0
16164,14692,282,261,7,4,4,7,5,5,1,0,17,18,4,3,1,0,1,0,1,0,0,0,1472,21,3,-3,0,0,-1,1,1,89.6,27.6,62,5,4,1,0
17005,15038,294,274,5,4,4,5,7,9,0,1,113,23,4,2,4,0,1,0,0,1,1,0,1967,20,1,-1,-2,0,90,2,4,69.2,29.2,40,5,5,0,0
15053,14492,291,260,3,3,3,3,7,4,0,0,18,20,2,3,1,0,1,0,0,0,0,0,561,31,0,0,3,0,-2,-1,1,69,21.2,47.8,5,4,1,1
16948,14422,268,249,8,3,3,8,10,5,0,1,14,17,3,3,0,2,1,0,0,1,0,0,2526,19,5,-5,5,0,-3,0,-2,119.4,87.8,31.6,4,5,-1,1
13766,14486,290,269,1,3,3,1,2,3,1,0,33,13,2,2,0,1,0,1,1,0,0,0,-720,21,-2,2,-1,0,20,0,-1,16.4,21,-4.6,2,5,-3,1
15166,14464,228,274,7,3,3,7,6,2,0,0,16,13,1,2,0,0,1,0,0,0,0,0,702,-46,4,-4,4,0,3,-1,0,56.8,43.2,13.6,2,4,-2,0
15164,15416,253,278,5,5,5,5,5,4,0,1,13,9,2,4,0,4,0,1,0,1,0,0,-252,-25,0,0,1,0,4,-2,-4,24.4,39.2,-14.8,4,4,0,0
17189,15388,238,264,11,6,6,11,10,11,1,0,17,16,2,1,1,0,0,1,1,0,0,0,1801,-26,5,-5,-1,0,1,1,1,17.4,14,3.4,3,4,-1,1
16525,15098,276,260,8,5,5,8,6,8,1,0,17,12,1,2,2,0,1,0,1,0,0,0,1427,16,3,-3,-2,0,5,-1,2,36.8,21.2,15.6,4,4,0,1
6683,5432,91,68,2,1,1,2,4,0,0,0,7,3,0,0,1,0,1,0,0,0,0,0,1251,23,1,-1,4,0,4,0,1,57.4,15.8,41.6,5,4,1,1
17515,13688,247,235,12,3,3,12,13,2,0,0,15,14,3,1,3,0,1,0,0,0,0,0,3827,12,9,-9,11,0,1,2,3,13.2,50,-36.8,4,4,0,1
16164,15135,249,257,9,5,5,9,16,7,0,0,20,22,2,5,1,0,0,1,0,0,0,0,1029,-8,4,-4,9,0,-2,-3,1,73.8,11.2,62.6,5,4,1,1
17148,15620,274,239,10,6,6,10,15,7,1,0,16,17,6,2,0,0,1,0,1,0,0,0,1528,35,4,-4,8,0,-1,4,0,13,22,-9,5,4,1,1
14624,17092,265,296,5,6,6,5,5,10,0,1,16,16,1,5,0,2,1,0,0,1,0,0,-2468,-31,-1,1,-5,0,0,-4,-2,34.6,49,-14.4,5,5,0,0
16281,14259,259,227,8,4,4,8,14,6,0,0,16,13,2,2,3,2,1,0,0,0,0,0,2022,32,4,-4,8,0,3,0,1,41.4,49.8,-8.4,4,3,1,0
15922,14210,273,291,6,2,2,6,7,0,1,0,22,17,3,2,0,0,1,0,1,0,0,0,1712,-18,4,-4,7,0,5,1,0,87,12,75,4,3,1,1
16259,15131,270,254,8,6,6,8,8,6,0,0,15,14,5,1,0,1,1,0,0,0,0,0,1128,16,2,-2,2,0,1,4,-1,104.2,13.6,90.6,4,4,0,1
15356,14089,302,275,3,3,3,3,3,3,0,1,17,16,4,3,1,0,0,1,0,1,0,0,1267,27,0,0,0,0,1,1,1,50.8,55.2,-4.4,4,5,-1,0
15578,15085,254,232,8,5,5,8,7,3,0,0,17,13,2,1,1,2,1,0,0,0,0,0,493,22,3,-3,4,0,4,1,-1,65.4,17.6,47.8,5,5,0,0
16431,15993,264,290,6,6,6,6,9,9,1,0,33,15,6,3,2,1,0,1,1,0,0,0,438,-26,0,0,0,0,18,3,1,31.8,19.6,12.2,4,4,0,1
13965,15064,244,281,4,4,4,4,3,4,0,0,17,115,1,4,0,1,1,0,0,0,0,0,-1099,-37,0,0,-1,0,-98,-3,-1,15.4,35.2,-19.8,4,4,0,0
15529,14679,232,214,7,6,6,7,13,8,0,0,17,18,2,1,0,0,0,1,0,0,0,0,850,18,1,-1,5,0,-1,1,0,21.2,16.8,4.4,4,3,1,1
15286,13768,290,271,5,2,3,5,3,2,0,1,15,16,1,1,0,0,1,0,0,1,0,0,1518,19,3,-2,1,0,-1,0,0,36,21.8,14.2,4,4,0,1
15985,15931,268,236,7,7,7,7,4,7,0,0,15,14,4,3,1,0,1,0,0,0,0,0,54,32,0,0,-3,0,1,1,1,32.2,91.4,-59.2,5,4,1,1
15675,15668,256,283,7,5,5,7,10,5,1,0,25,17,3,4,0,1,1,0,1,0,0,0,7,-27,2,-2,5,0,8,-1,-1,24,52.4,-28.4,5,5,0,1
14866,14008,253,258,5,3,3,5,5,5,0,1,13,23,5,3,1,1,1,0,0,1,0,0,858,-5,2,-2,0,0,-10,2,0,28,82.6,-54.6,3,4,-1,0
18446,16021,270,240,13,7,7,13,13,10,1,0,21,13,1,5,3,0,1,0,1,0,0,0,2425,30,6,-6,3,0,8,-4,3,47.2,12.8,34.4,5,3,2,1
16906,16235,249,222,10,9,9,10,16,10,1,0,18,18,2,5,1,0,1,0,1,0,0,0,671,27,1,-1,6,0,0,-3,1,38,28.2,9.8,5,3,2,1
17313,14733,243,259,11,4,4,11,11,3,0,0,21,16,4,2,0,0,1,0,0,0,0,0,2580,-16,7,-7,8,0,5,2,0,45.8,56.6,-10.8,3,4,-1,1
15182,16169,291,257,4,7,7,4,4,11,1,0,18,33,5,4,0,1,1,0,1,0,0,0,-987,34,-3,3,-7,0,-15,1,-1,28,22.6,5.4,5,4,1,1
14621,17844,273,299,4,8,8,4,4,6,0,1,18,42,4,4,0,2,0,1,0,1,0,0,-3223,-26,-4,4,-2,0,-24,0,-2,52.2,42.2,10,4,4,0,0
16400,15842,237,257,10,6,6,10,8,5,0,0,14,13,3,1,0,2,1,0,0,0,0,0,558,-20,4,-4,3,0,1,2,-2,60.2,21.4,38.8,3,4,-1,1
17421,14762,257,255,11,4,4,11,14,4,0,0,16,29,2,5,1,0,1,0,0,0,0,0,2659,2,7,-7,10,0,-13,-3,1,92.6,26.6,66,3,4,-1,1
16306,18316,284,272,6,11,11,6,9,21,0,1,15,36,5,1,1,1,0,1,0,1,0,0,-2010,12,-5,5,-12,0,-21,4,0,28.8,85.6,-56.8,4,4,0,0
15595,16774,297,296,5,6,6,5,3,8,0,0,16,38,4,4,0,0,0,1,0,0,0,0,-1179,1,-1,1,-5,0,-22,0,0,39.2,65.4,-26.2,4,5,-1,1
15707,15837,291,274,5,6,6,5,6,11,0,1,15,20,2,4,0,1,1,0,0,1,0,0,-130,17,-1,1,-5,0,-5,-2,-1,22.4,55.8,-33.4,4,5,-1,1
16387,18324,255,265,7,13,13,7,5,16,0,1,13,18,3,3,1,0,0,1,0,1,0,0,-1937,-10,-6,6,-11,0,-5,0,1,124.6,50.6,74,5,5,0,0
16243,13472,296,288,5,0,0,5,6,0,1,0,18,14,2,6,1,1,1,0,1,0,0,0,2771,8,5,-5,6,0,4,-4,0,67.8,187.2,-119.4,4,3,1,1
15877,15112,253,265,6,5,5,6,7,9,0,0,16,19,3,5,1,0,1,0,0,0,0,0,765,-12,1,-1,-2,0,-3,-2,1,44.8,105.6,-60.8,4,5,-1,1
14815,16208,259,294,4,5,5,4,4,6,0,1,18,14,3,1,0,2,0,1,0,1,0,0,-1393,-35,-1,1,-2,0,4,2,-2,47.6,36.2,11.4,4,4,0,0
16252,14910,262,254,8,5,5,8,10,11,0,1,23,50,0,3,1,0,1,0,0,1,0,0,1342,8,3,-3,-1,0,-27,-3,1,16.6,66.4,-49.8,5,5,0,1
15722,15764,274,289,6,5,5,6,5,7,1,0,14,19,5,3,2,1,1,0,1,0,0,0,-42,-15,1,-1,-2,0,-5,2,1,72.6,13.8,58.8,5,3,2,1
15844,14354,298,308,4,1,1,4,10,3,0,1,17,92,4,5,0,3,1,0,0,1,0,0,1490,-10,3,-3,7,0,-75,-1,-3,138.4,32.6,105.8,5,4,1,1
15569,15444,232,276,8,7,7,8,9,2,0,0,14,188,3,2,0,0,0,1,0,0,0,0,125,-44,1,-1,7,0,-174,1,0,60.6,74,-13.4,5,5,0,1
16885,15973,256,252,8,6,6,8,11,6,0,0,16,22,7,4,0,2,0,1,0,0,0,0,912,4,2,-2,5,0,-6,3,-2,78.4,46.8,31.6,4,3,1,0
15957,15603,283,266,7,6,7,8,6,7,0,1,19,109,0,3,0,0,1,0,0,1,0,0,354,17,1,-1,-1,0,-90,-3,0,31.6,56.2,-24.6,4,4,0,0
14278,17352,230,265,5,12,12,5,4,10,1,0,12,164,3,3,0,3,0,1,1,0,0,0,-3074,-35,-7,7,-6,0,-152,0,-3,45.2,39.4,5.8,5,5,0,0
14789,16178,240,241,5,8,8,5,10,10,0,0,23,19,2,0,1,0,0,1,0,0,0,0,-1389,-1,-3,3,0,0,4,2,1,58.6,26.4,32.2,4,4,0,0
15314,15147,264,270,6,5,5,6,10,6,1,0,17,18,6,2,0,0,1,0,1,0,0,0,167,-6,1,-1,4,0,-1,4,0,67.6,38.6,29,5,4,1,1
14457,15145,293,294,2,4,4,2,3,8,0,0,14,16,4,5,0,0,1,0,0,0,0,0,-688,-1,-2,2,-5,0,-2,-1,0,60,17,43,5,5,0,0
17342,16757,291,282,8,8,8,8,9,7,0,0,15,101,2,5,2,0,1,0,0,0,0,0,585,9,0,0,2,0,-86,-3,2,17.8,66.2,-48.4,3,4,-1,1
14749,16135,264,254,5,7,7,5,3,10,1,0,18,14,3,2,0,4,0,1,1,0,0,0,-1386,10,-2,2,-7,0,4,1,-4,69.8,27.8,42,5,3,2,0
15620,16428,272,263,5,8,8,6,8,10,0,0,32,43,1,4,0,2,0,1,0,0,0,0,-808,9,-3,2,-2,0,-11,-3,-2,21.4,71.6,-50.2,4,4,0,0
14153,15054,252,253,3,6,7,3,3,15,0,1,15,16,2,3,1,1,0,1,0,1,0,0,-901,-1,-3,4,-12,0,-1,-1,0,31,22.8,8.2,5,5,0,0
15069,15680,251,226,5,7,7,6,4,13,0,0,18,16,4,3,1,0,0,1,0,0,0,0,-611,25,-2,1,-9,0,2,1,1,69.2,29.6,39.6,5,4,1,1
14355,15422,225,255,5,6,6,5,7,6,0,0,18,20,2,1,0,3,0,1,0,0,0,0,-1067,-30,-1,1,1,0,-2,1,-3,116,63,53,5,4,1,0
14588,15474,244,248,4,6,6,4,6,7,1,0,12,18,7,2,0,3,0,1,1,0,0,0,-886,-4,-2,2,-1,0,-6,5,-3,113.2,18.8,94.4,4,4,0,0
16438,13772,267,252,8,2,2,8,8,1,0,0,20,13,3,3,1,0,1,0,0,0,0,0,2666,15,6,-6,7,0,7,0,1,58.2,65.4,-7.2,4,5,-1,1
15083,14246,281,276,3,3,3,3,4,3,0,0,18,23,5,2,2,0,0,1,0,0,0,0,837,5,0,0,1,0,-5,3,2,87.8,127.4,-39.6,5,5,0,0
15384,14478,242,279,6,3,3,6,12,9,0,1,15,20,4,7,0,0,1,0,0,1,0,0,906,-37,3,-3,3,0,-5,-3,0,50.8,88,-37.2,4,4,0,1
16039,14158,261,262,8,3,3,8,13,5,0,1,40,14,3,10,1,2,0,1,0,1,0,0,1881,-1,5,-5,8,0,26,-7,-1,14,15.2,-1.2,4,4,0,1
17010,14808,276,259,9,4,4,9,13,2,0,0,35,18,4,5,0,0,1,0,0,0,0,0,2202,17,5,-5,11,0,17,-1,0,22.4,34.6,-12.2,5,5,0,0
16979,14825,247,281,11,3,3,11,11,3,0,0,18,15,3,4,0,0,1,0,0,0,0,0,2154,-34,8,-8,8,0,3,-1,0,57.4,54.8,2.6,5,5,0,0
14646,15373,263,285,4,5,5,4,6,4,0,1,15,14,2,4,2,0,0,1,0,1,0,0,-727,-22,-1,1,2,0,1,-2,2,143.2,35.2,108,5,4,1,0
15885,13891,280,269,5,2,2,5,7,4,1,0,13,17,3,0,1,0,0,1,1,0,0,0,1994,11,3,-3,3,0,-4,3,1,62.8,12.6,50.2,5,5,0,1
15422,15246,289,293,5,5,5,5,5,5,0,0,21,15,4,3,0,0,0,1,0,0,0,0,176,-4,0,0,0,0,6,1,0,58.6,50.8,7.8,4,5,-1,0
15093,14131,249,259,6,3,3,6,7,3,0,0,34,16,9,0,0,0,1,0,0,0,0,0,962,-10,3,-3,4,0,18,9,0,84,61.6,22.4,4,4,0,0
14493,13635,297,286,2,1,1,2,1,1,1,0,20,18,4,1,1,0,0,1,1,0,0,0,858,11,1,-1,0,0,2,3,1,38.8,79.2,-40.4,5,4,1,0
15718,16160,290,274,6,6,6,6,8,6,0,0,17,19,9,3,1,0,1,0,0,0,0,0,-442,16,0,0,2,0,-2,6,1,57.6,51.8,5.8,5,5,0,1
2525,2549,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,-24,0,0,0,0,0,-2,0,0,23,87.4,-64.4,3,5,-2,0
14802,15425,263,283,4,4,4,4,9,7,0,0,15,16,5,4,1,3,1,0,0,0,0,0,-623,-20,0,0,2,0,-1,1,-2,21.8,16.8,5,3,2,1,0
14504,13974,217,232,6,3,3,6,5,5,0,0,17,16,5,0,0,3,1,0,0,0,0,0,530,-15,3,-3,0,0,1,5,-3,52.6,51.4,1.2,4,4,0,1
14528,13935,284,281,2,2,2,2,1,1,1,0,14,127,3,6,0,0,0,1,1,0,0,0,593,3,0,0,0,0,-113,-3,0,45,32.8,12.2,5,4,1,1
16306,15402,268,248,8,5,5,8,6,7,0,0,30,15,2,3,0,2,1,0,0,0,0,0,904,20,3,-3,-1,0,15,-1,-2,49.4,21.6,27.8,3,5,-2,1
15500,14026,272,261,6,2,2,6,8,3,1,0,15,19,1,2,0,0,0,1,1,0,0,0,1474,11,4,-4,5,0,-4,-1,0,104.2,41.4,62.8,5,4,1,1
14283,15620,263,292,3,4,4,3,3,5,0,0,15,14,3,3,0,0,0,1,0,0,0,0,-1337,-29,-1,1,-2,0,1,0,0,62,34.4,27.6,3,2,1,0
15690,14778,301,272,4,3,3,4,6,5,0,0,13,21,2,2,2,0,1,0,0,0,0,0,912,29,1,-1,1,0,-8,0,2,25.2,95,-69.8,5,3,2,1
16328,14685,299,281,6,3,3,6,6,5,0,0,17,13,3,3,2,1,1,0,0,0,0,0,1643,18,3,-3,1,0,4,0,1,30.4,11.8,18.6,3,3,0,1
15880,14491,289,252,7,4,5,7,8,3,0,0,15,28,4,4,0,0,1,0,0,0,0,0,1389,37,3,-2,5,0,-13,0,0,46,11.8,34.2,4,4,0,1
16511,12925,267,240,8,2,2,8,9,0,1,0,17,10,2,1,2,0,1,0,1,0,0,0,3586,27,6,-6,9,0,7,1,2,113.2,144.4,-31.2,4,4,0,1
14534,15542,282,265,4,6,6,4,0,8,0,1,18,11,1,6,0,0,0,1,0,1,0,0,-1008,17,-2,2,-8,0,7,-5,0,63.4,86.2,-22.8,4,5,-1,0
14395,16398,259,255,2,8,8,2,2,7,0,0,290,17,2,2,0,1,0,1,0,0,0,0,-2003,4,-6,6,-5,0,273,0,-1,96.8,27.6,69.2,5,3,2,0
16393,13961,270,256,9,2,2,9,13,3,0,1,15,17,4,2,2,3,1,0,0,1,0,0,2432,14,7,-7,10,0,-2,2,-1,27.6,40.2,-12.6,2,4,-2,1
