assist_diff,cs_diff,diff_level7_count,diff_mean_level,firstBlood_diff,firstDragon_diff,gold_diff,kill_diff,towerplates_diff,wards_killed_diff,wards_placed_diff,target
-10,5,1,-28.2,-1,0,-2338,-6,-1,-4,3,0
-3,-3,1,14.6,-1,-1,-1009,-2,0,-3,-30,0
8,-18,1,-33.8,1,0,2082,5,1,2,-14,1
4,-12,1,18.2,1,-1,584,2,1,1,-3,1
-2,-2,0,-44.2,-1,0,-513,-1,0,0,5,0
-2,-3,1,83.4,1,-1,-1036,-3,2,-1,26,0
-11,-76,0,-31.4,-1,-1,-4701,-8,-2,-4,8,0
-1,-22,3,60.8,-1,-1,-668,-2,-1,1,1,0
-2,25,1,-63.0,-1,0,-45,-1,0,2,18,1
2,21,1,41.0,-1,0,676,1,0,1,0,1
-1,-20,1,39.4,-1,0,-971,-2,1,-2,9,0
1,31,-1,17.4,1,1,1665,2,1,0,2,0
-5,31,0,-16.0,-1,-1,-1105,-4,0,3,-23,1
4,56,-4,-102.6,1,0,1861,5,0,2,3,1
2,-16,1,32.4,1,0,232,2,1,2,-2,1
-4,3,-1,-0.8,1,0,-860,-1,0,4,1,1
-2,3,0,-20.8,1,0,133,0,1,-1,5,0
-5,-14,-1,1.2,-1,-1,-2327,-4,-1,-2,-12,1
-5,10,1,60.0,-1,-1,-1003,-3,0,2,5,0
-11,3,0,-2.4,1,0,-1008,-3,0,-3,-4,0
-2,-27,-2,-10.0,1,1,-2199,-3,-1,-3,2,0
0,-28,1,45.8,1,0,-1572,-1,-1,2,-9,1
0,-5,0,6.6,-1,-1,116,1,-2,-2,0,0
-11,-23,-1,5.0,1,0,-2123,-4,-1,2,-1,1
2,-7,1,-18.4,1,0,619,2,-2,5,-13,1
9,0,-1,-79.8,-1,1,1788,3,2,-2,1,0
-6,-10,0,-110.8,1,0,-1712,-4,-2,-7,2,1
-6,6,-1,24.8,-1,0,-961,-2,1,0,2,0
7,-49,-1,17.0,1,0,183,3,0,1,-1,0
6,-20,1,26.2,1,0,1017,4,0,2,-4,0
0,21,1,62.0,1,1,1472,3,1,1,-1,0
-2,20,0,40.0,1,-1,1967,1,4,2,90,0
3,31,1,47.8,1,0,561,0,1,-1,-2,1
5,19,-1,31.6,1,-1,2526,5,-2,0,-3,1
-1,21,-3,-4.6,-1,1,-720,-2,-1,0,20,1
4,-46,-2,13.6,1,0,702,4,0,-1,3,0
1,-25,0,-14.8,-1,-1,-252,0,-4,-2,4,0
-1,-26,-1,3.4,-1,1,1801,5,1,1,1,1
-2,16,0,15.6,1,1,1427,3,2,-1,5,1
4,23,1,41.6,1,0,1251,1,1,0,4,1
11,12,0,-36.8,1,0,3827,9,3,2,1,1
9,-8,1,62.6,-1,0,1029,4,1,-3,-2,1
8,35,1,-9.0,1,1,1528,4,0,4,-1,1
-5,-31,0,-14.4,1,-1,-2468,-1,-2,-4,0,0
8,32,1,-8.4,1,0,2022,4,1,0,3,0
7,-18,1,75.0,1,1,1712,4,0,1,5,1
2,16,0,90.6,1,0,1128,2,-1,4,1,1
0,27,-1,-4.4,-1,-1,1267,0,1,1,1,0
4,22,0,47.8,1,0,493,3,-1,1,4,0
0,-26,0,12.2,-1,1,438,0,1,3,18,1
-1,-37,0,-19.8,1,0,-1099,0,-1,-3,-98,0
5,18,1,4.4,-1,0,850,1,0,1,-1,1
1,19,0,14.2,1,-1,1518,3,0,0,-1,1
-3,32,1,-59.2,1,0,54,0,1,1,1,1
5,-27,0,-28.4,1,1,7,2,-1,-1,8,1
0,-5,-1,-54.6,1,-1,858,2,0,2,-10,0
3,30,2,34.4,1,1,2425,6,3,-4,8,1
6,27,2,9.8,1,1,671,1,1,-3,0,1
8,-16,-1,-10.8,1,0,2580,7,0,2,5,1
-7,34,1,5.4,1,1,-987,-3,-1,1,-15,1
-2,-26,0,10.0,-1,-1,-3223,-4,-2,0,-24,0
3,-20,-1,38.8,1,0,558,4,-2,2,1,1
10,2,-1,66.0,1,0,2659,7,1,-3,-13,1
-12,12,0,-56.8,-1,-1,-2010,-5,0,4,-21,0
-5,1,-1,-26.2,-1,0,-1179,-1,0,0,-22,1
-5,17,-1,-33.4,1,-1,-130,-1,-1,-2,-5,1
-11,-10,0,74.0,-1,-1,-1937,-6,1,0,-5,0
6,8,1,-119.4,1,1,2771,5,0,-4,4,1
-2,-12,-1,-60.8,1,0,765,1,1,-2,-3,1
-2,-35,0,11.4,-1,-1,-1393,-1,-2,2,4,0
-1,8,0,-49.8,1,-1,1342,3,1,-3,-27,1
-2,-15,2,58.8,1,1,-42,1,1,2,-5,1
7,-10,1,105.8,1,-1,1490,3,-3,-1,-75,1
7,-44,0,-13.4,-1,0,125,1,0,1,-174,1
5,4,1,31.6,-1,0,912,2,-2,3,-6,0
-1,17,0,-24.6,1,-1,354,1,0,-3,-90,0
-6,-35,0,5.8,-1,1,-3074,-7,-3,0,-152,0
0,-1,0,32.2,-1,0,-1389,-3,1,2,4,0
4,-6,1,29.0,1,1,167,1,0,4,-1,1
-5,-1,0,43.0,1,0,-688,-2,0,-1,-2,0
2,9,-1,-48.4,1,0,585,0,2,-3,-86,1
-7,10,2,42.0,-1,1,-1386,-2,-4,1,4,0
-2,9,0,-50.2,-1,0,-808,-3,-2,-3,-11,0
-12,-1,0,8.2,-1,-1,-901,-3,0,-1,-1,0
-9,25,1,39.6,-1,0,-611,-2,1,1,2,1
1,-30,1,53.0,-1,0,-1067,-1,-3,1,-2,0
-1,-4,0,94.4,-1,1,-886,-2,-3,5,-6,0
7,15,-1,-7.2,1,0,2666,6,1,0,7,1
1,5,0,-39.6,-1,0,837,0,2,3,-5,0
3,-37,0,-37.2,1,-1,906,3,0,-3,-5,1
8,-1,0,-1.2,-1,-1,1881,5,-1,-7,26,1
11,17,0,-12.2,1,0,2202,5,0,-1,17,0
8,-34,0,2.6,1,0,2154,8,0,-1,3,0
2,-22,1,108.0,-1,-1,-727,-1,2,-2,1,0
3,11,0,50.2,-1,1,1994,3,1,3,-4,1
0,-4,-1,7.8,-1,0,176,0,0,1,6,0
4,-10,0,22.4,1,0,962,3,0,9,18,0
0,11,1,-40.4,-1,1,858,1,1,3,2,0
2,16,0,5.8,1,0,-442,0,1,6,-2,1
0,0,-2,-64.4,0,0,-24,0,0,0,-2,0
2,-20,1,5.0,1,0,-623,0,-2,1,-1,0
0,-15,0,1.2,1,0,530,3,-3,5,1,1
0,3,1,12.2,-1,1,593,0,0,-3,-113,1
-1,20,-2,27.8,1,0,904,3,-2,-1,15,1
5,11,1,62.8,-1,1,1474,4,0,-1,-4,1
-2,-29,1,27.6,-1,0,-1337,-1,0,0,1,0
1,29,2,-69.8,1,0,912,1,2,0,-8,1
1,18,0,18.6,1,0,1643,3,1,0,4,1
5,37,0,34.2,1,0,1389,3,0,0,-13,1
9,27,0,-31.2,1,1,3586,6,2,1,7,1
-8,17,-1,-22.8,-1,-1,-1008,-2,0,-5,7,0
-5,4,2,69.2,-1,0,-2003,-6,-1,0,273,0
10,14,-2,-12.6,1,-1,2432,7,-1,2,-2,1
13,-26,-1,-32.4,1,0,1811,6,0,-1,7,1
2,-8,-1,-35.4,-1,0,-1213,-2,1,2,10,0
6,-33,1,16.4,1,-1,1151,4,-1,-1,-66,0
10,-11,2,-1.8,-1,0,946,3,0,-1,1,1
5,24,-1,-12.8,1,-1,1753,4,-1,5,-6,1
2,-34,0,0.2,1,1,-1239,-1,-2,-3,0,0
-2,12,0,98.4,-1,1,1531,3,2,-3,189,1
3,-16,0,-3.2,1,1,-402,0,-1,-1,-17,1
2,-3,1,82.2,1,0,1824,5,1,0,30,1
3,20,-1,-2.4,-1,0,1837,3,0,-2,26,1
2,-46,1,120.4,1,-1,-233,2,0,-2,23,0
3,-32,0,-67.6,1,0,39,1,-1,-8,15,0
4,-27,0,-1.0,-1,0,-714,0,0,-1,-24,0
1,-60,1,-19.0,-1,0,-2981,-4,-2,-3,-5,0
-5,-13,1,29.0,1,-1,-2239,-6,1,-1,-4,0
11,12,0,20.4,1,0,2574,6,0,2,5,0
-2,-17,-1,37.6,1,0,-439,-1,1,-4,-5,0
-2,23,-2,11.8,-1,0,706,-1,-1,2,2,1
-8,17,-1,-58.4,-1,-1,-1349,-4,-1,2,0,0
4,6,0,15.4,1,1,-16,0,-1,-1,4,0
4,-3,-1,19.2,1,0,864,3,0,2,0,1
-4,18,0,-20.6,1,0,-1769,-4,0,0,-4,0
-6,-16,-1,-19.6,-1,0,-1585,-5,0,-1,-12,0
2,-29,1,34.8,-1,-1,-1992,-5,-1,1,17,1
-13,-2,0,-52.0,-1,0,-3132,-7,0,-2,23,0
4,28,-1,-52.2,1,0,2441,4,1,0,4,1
-4,9,0,7.4,1,-1,-278,-1,0,2,-6,1
-4,-13,-1,-9.6,-1,1,-1755,-4,1,2,-1,0
-8,12,-1,7.2,1,0,-1806,-3,0,-4,-7,0
4,-62,1,2.0,1,-1,-587,1,1,-3,7,1
-3,-11,3,70.8,-1,-1,-370,-2,0,1,15,1
8,15,3,50.4,1,0,2975,6,2,4,3,1
0,-18,-1,30.8,-1,0,-800,-2,0,4,49,0
-2,-21,0,-2.8,-1,0,-2018,-2,-1,0,22,0
5,40,1,-44.4,1,-1,2973,5,0,0,51,0
-1,-11,-2,10.8,1,0,-654,-1,0,2,-20,0
-3,-3,1,-39.8,1,-1,599,3,2,0,-4,1
0,8,-1,-15.8,1,1,-698,0,-1,1,-17,1
2,-23,2,24.2,1,0,-906,0,-1,0,92,0
-1,-23,1,45.2,-1,0,-935,-1,-3,-4,-200,1
0,-53,0,40.0,-1,0,-1444,-2,1,1,-12,0
7,12,0,29.0,-1,0,1768,3,0,-2,9,1
1,24,2,36.0,-1,1,699,0,-1,1,0,1
-5,-19,1,64.8,1,0,-437,1,-3,-2,-3,1
-10,-2,-1,-13.2,-1,0,-1677,-6,-1,3,-6,0
0,-16,-2,-6.4,-1,1,-2396,-5,0,1,2,1
6,8,0,-0.8,-1,0,2782,5,4,0,6,1
5,-6,1,69.6,1,0,1587,4,0,-2,-53,1
-7,-5,1,32.4,-1,0,-1095,-3,0,-3,21,1
-1,-47,-1,-7.2,1,0,-918,1,0,-3,4,0
9,-42,-1,41.2,1,0,401,3,0,-3,9,1
2,-11,0,-22.6,1,-1,724,3,-2,-4,-8,0
11,-16,2,-10.2,1,-1,1836,6,-2,-2,26,0
-6,-15,0,30.6,-1,0,-2557,-5,1,-2,-32,0
4,-15,1,-52.6,-1,0,-188,0,0,-2,20,1
-2,-23,0,39.4,1,-1,-444,0,-2,-1,-38,0
0,-72,2,7.6,-1,1,-3850,-6,-2,2,24,0
0,-21,1,65.2,-1,0,-658,-1,1,-1,7,0
-5,-12,0,28.2,1,-1,-542,1,-1,-4,5,0
-16,9,1,-73.2,-1,-1,-4545,-14,0,1,-3,0
6,3,1,-5.0,1,0,1571,5,-1,0,-2,1
0,17,-2,-55.0,1,-1,951,1,0,0,2,0
6,-31,1,-12.8,-1,-1,938,4,0,0,5,0
-3,12,1,-48.0,-1,-1,-1947,-5,-1,0,-2,0
0,-17,0,15.6,-1,-1,-155,0,0,-4,21,0
0,1,-1,9.2,0,0,11,0,0,0,0,1
2,-12,-1,-14.4,-1,0,1377,2,0,-2,21,1
-1,2,-1,-65.0,-1,0,-796,-1,0,-3,5,0
7,-3,-1,-48.4,1,0,4119,10,3,1,9,1
6,-10,0,42.2,-1,-1,2231,5,0,1,2,1
0,1,0,-10.8,0,0,21,0,0,0,-1,1
-1,-32,-1,-29.2,-1,0,-1909,-3,-3,0,-99,0
3,-31,-2,-71.2,-1,1,-488,0,-1,-1,19,0
3,35,-1,-81.8,-1,0,1415,2,0,-3,44,0
2,-32,-2,-53.0,-1,0,21,1,0,2,-18,0
5,4,-1,-0.6,-1,0,1820,3,0,-1,5,1
-8,-4,1,22.6,-1,0,-1956,-3,-2,0,0,0
-2,6,-1,-13.0,-1,0,-438,-1,0,-1,21,0
-6,41,-1,-34.6,-1,-1,-1135,-5,-1,5,-7,1
8,-3,2,-3.0,1,1,1999,5,1,2,61,1
4,-27,-1,5.0,-1,-1,-258,1,0,-2,-1,0
4,-33,2,20.6,1,0,-256,2,-3,0,-70,0
4,-13,0,32.8,1,1,654,2,-1,-2,-1,1
0,9,-2,-88.8,-1,0,890,2,1,-2,3,0
-4,48,1,-2.2,-1,-1,400,-2,1,-2,0,1
-7,-14,1,26.4,-1,1,-2678,-8,1,1,8,0
2,20,1,-71.8,1,0,1777,4,0,-3,2,1
2,-22,0,11.0,1,0,198,2,-1,2,5,0
3,14,1,12.4,1,0,1120,0,0,-1,123,1
4,29,4,10.8,1,-1,2182,4,0,2,-107,1
-9,-16,2,59.6,-1,0,-1912,-4,0,1,-239,0
4,29,-1,-69.8,1,-1,1721,2,0,6,-27,1
-8,13,0,-95.0,1,-1,-2243,-5,1,0,3,0
6,-16,0,148.8,1,0,2375,5,0,2,-1,1
6,-31,0,-3.6,1,0,1740,5,0,1,3,0
5,15,-1,47.6,1,-1,1221,2,0,0,26,0
-1,11,0,25.4,-1,1,564,0,1,3,-6,1
-3,0,-1,-51.4,-1,0,-1364,-5,0,-5,0,0
3,5,3,168.2,-1,0,417,-1,3,-1,-11,1
-1,-14,1,65.4,1,0,-950,0,2,-1,-14,1
2,-8,-2,-0.4,1,0,423,2,0,1,5,0
2,-1,1,118.8,1,0,822,2,0,1,1,1
0,2,0,38.8,0,0,40,0,0,0,-1,1
0,48,1,-68.4,1,-1,271,-1,0,-1,2,0
2,-26,3,17.8,1,0,-789,0,-1,-2,2,1
4,1,1,-47.6,1,0,138,1,-1,0,0,1
-4,-52,1,42.8,1,0,-2319,-3,-1,2,13,0
-5,-17,0,31.2,1,0,-2332,-4,-1,2,11,0
2,-27,-1,-1.6,-1,0,-53,1,-2,2,-1,1
4,-6,0,50.8,1,0,-791,-1,-1,-1,2,1
3,-18,1,39.0,1,1,-98,1,1,-3,1,1
2,8,-2,-10.6,-1,-1,1175,5,0,-1,4,1
2,-11,3,65.6,1,0,-486,-2,3,1,5,0
-11,4,1,11.2,-1,0,-1152,-3,2,-2,26,1
-1,2,-2,-41.2,-1,0,263,1,0,-2,-1,0
-7,-28,1,-36.6,-1,0,-2725,-5,-1,2,-11,1
3,32,0,-50.6,-1,0,2636,5,1,-3,-34,1
10,-12,1,-7.8,1,0,1317,4,-2,2,1,0
-4,-30,-2,-1.0,-1,-1,-1922,-3,0,2,-3,0
-4,16,0,7.8,-1,-1,-1552,-4,0,0,-25,0
1,47,-3,-110.2,-1,-1,1727,2,0,0,-17,1
2,-3,-1,40.8,1,-1,382,1,1,-2,2,0
7,-35,2,16.8,-1,0,1313,4,-1,2,-14,1
2,26,-1,-16.2,1,1,-258,-1,0,1,0,1
1,-13,0,52.6,-1,-1,1968,4,1,-1,17,1
4,-3,0,13.0,1,-1,1331,3,-1,-1,2,1
1,-28,0,-10.8,-1,0,-183,0,0,3,14,1
4,11,0,16.4,1,-1,2365,5,-1,1,5,1
-8,-39,1,32.4,-1,1,-3782,-9,-2,-2,87,0
4,-10,1,-8.0,1,1,298,2,-1,0,1,0
3,-53,2,44.0,1,0,56,2,-1,2,16,1
-1,-6,-2,-89.2,-1,-1,-1659,-3,0,-7,26,0
3,3,0,-8.0,-1,-1,1330,4,-1,2,2,0
-2,-19,-2,-2.6,1,-1,-565,0,0,1,-7,1
0,37,0,-44.0,1,1,314,0,1,3,98,0
4,31,-1,9.2,1,-1,1672,2,2,1,-1,1
11,47,0,-0.8,1,0,4472,8,2,-1,-1,1
12,-5,0,14.6,1,1,3579,10,2,2,0,1
-6,-45,0,12.8,-1,0,-3264,-5,-1,2,1,1
8,-2,0,-67.6,1,0,1646,4,0,-1,3,1
14,-32,0,18.8,1,1,2956,9,0,-1,5,1
7,1,-1,74.4,-1,0,619,3,-2,-4,-22,1
-4,-5,1,-14.0,1,0,-669,-3,1,1,9,1
-1,-20,3,65.6,-1,0,-1081,-2,-1,3,-79,0
3,9,-1,-110.6,1,0,2103,5,0,-2,2,1
6,0,-1,-7.4,-1,-1,1518,3,1,1,1,1
4,3,0,-2.4,1,0,1273,3,0,-2,5,1
4,56,-3,-60.2,1,0,3390,7,0,4,12,0
5,7,0,6.6,1,0,840,2,0,-3,5,0
1,26,2,-14.8,-1,-1,946,2,0,0,1,1
3,-8,-1,12.6,1,-1,755,2,1,-1,1,1
6,-14,-1,24.4,-1,0,-1133,0,-1,3,-17,0
4,5,1,37.4,-1,-1,2032,4,0,1,-1,1
0,0,0,44.2,0,0,0,0,0,0,-2,0
-4,17,-1,-24.2,1,0,676,0,-1,1,-1,1
8,15,1,-101.6,1,0,2971,7,2,1,1,1
5,21,-1,-20.6,-1,0,1504,2,0,0,0,1
9,-58,1,81.0,-1,1,-124,4,-1,2,2,0
7,44,0,-16.4,1,0,2590,4,1,-1,1,1
0,29,-3,-8.0,1,-1,742,0,0,-1,20,0
-8,37,0,-37.0,-1,0,-166,-2,1,2,2,0
10,9,-2,1.6,1,1,2670,5,2,0,-2,1
-7,-4,-2,-66.0,1,-1,-2197,-6,-1,-4,-181,0
0,19,2,30.6,1,1,753,1,1,2,-2,1
5,-33,0,64.6,1,0,1691,7,-2,-3,16,0
4,6,1,59.6,-1,0,584,1,1,0,22,1
-3,-24,0,-11.4,1,0,-2895,-6,-1,-1,-1,0
-2,-9,0,-16.8,1,-1,-453,-1,0,0,-4,0
8,-33,0,1.2,1,1,-835,1,0,-6,10,0
1,53,-1,-15.0,1,1,1668,0,4,-3,-3,1
1,7,0,-81.4,1,0,788,1,0,0,-2,1
6,41,0,-6.2,1,0,3175,4,2,-1,2,1
3,34,-2,51.0,-1,1,1704,3,0,2,-4,1
7,-27,4,16.0,1,-1,3402,11,2,-3,11,1
-2,20,2,11.2,-1,-1,348,-2,2,6,-3,0
-9,-2,1,105.0,-1,-1,-1817,-4,-1,-3,8,1
-3,-25,0,26.4,-1,0,-1213,-2,0,-5,0,0
-4,-13,-2,-0.6,-1,0,-2145,-4,-1,-2,-6,0
4,22,1,5.2,1,1,2412,6,1,1,-1,0
5,13,-2,4.4,1,0,1873,3,1,-1,4,1
0,-2,1,-6.8,1,-1,438,0,-2,-2,-78,1
1,8,-1,-3.0,1,0,579,1,1,-6,0,1
1,-2,0,42.8,1,-1,591,2,0,-2,-21,0
2,0,2,3.2,-1,0,1157,0,1,0,-1,1
0,14,0,-1.6,-1,-1,-90,-1,-1,-3,-2,0
0,9,0,73.6,1,0,2401,6,0,-2,8,0
-4,4,-1,13.6,-1,0,-1216,-3,0,0,2,0
2,-4,1,-18.0,-1,-1,-232,-1,0,-1,5,0
-5,-7,-1,-55.8,1,0,-1233,-2,0,1,5,0
-4,5,-1,-36.4,1,0,-1084,-1,0,0,-7,1
4,33,1,-47.8,1,0,1450,3,0,0,1,1
-3,-7,-1,-35.4,1,1,-1366,-3,-1,-2,-45,0
-14,-50,-2,-69.8,-1,-1,-5000,-9,-2,-2,-6,0
6,-9,2,26.4,1,0,465,2,0,4,17,1
1,-9,3,2.0,1,-1,-11,0,1,2,-5,1
0,-16,1,-2.8,-1,-1,-478,0,0,-1,10,0
-2,21,-1,-68.2,1,0,-429,-1,0,3,1,0
-6,12,2,13.2,-1,-1,-2837,-8,0,0,3,0
0,-9,0,-10.8,-1,0,-898,-2,-1,-1,10,0
-2,11,0,-87.4,-1,1,-1118,-4,0,-2,-1,0
5,-6,-3,-52.8,1,0,103,1,1,1,-4,1
2,-1,-1,-128.4,-1,0,1482,3,0,-1,0,0
5,-3,2,23.6,1,0,1059,3,1,-1,-18,0
9,-34,0,-31.6,1,0,2424,9,2,-2,1,1
1,23,-1,36.6,-1,0,441,-1,3,5,4,1
-6,-1,1,27.2,1,-1,-1652,-3,0,-1,6,0
4,-43,1,-10.2,-1,0,-1078,1,-1,-1,12,1
6,-21,-2,-93.4,1,0,1182,3,-1,2,-1,1
0,-22,3,15.6,-1,1,-605,1,-2,-1,-2,1
-3,27,1,2.0,1,1,330,1,-1,-2,-18,1
-10,8,1,19.6,-1,0,-514,-2,2,-3,-17,0
1,26,0,-28.8,1,1,261,-2,0,0,-2,1
-1,0,1,14.4,-1,1,331,0,0,0,5,1
5,-22,0,12.6,-1,-1,443,2,-1,7,-2,1
-1,-33,0,-0.8,-1,-1,-1939,-4,-2,4,-2,0
0,-40,-1,-2.8,-1,1,-1034,-2,-2,-1,10,1
1,15,-1,24.2,1,-1,441,2,0,-1,8,1
3,14,0,-13.2,-1,1,600,1,0,3,-7,1
4,-5,-1,-1.0,-1,-1,878,0,0,3,-3,0
2,7,-1,-46.6,1,0,123,1,0,-6,-7,0
-1,-5,-1,1.0,-1,0,-962,-2,-1,4,105,0
1,4,1,34.4,1,1,842,3,1,1,1,1
2,-23,1,-70.4,1,1,840,3,1,0,5,1
2,56,-1,125.6,1,0,3371,6,-1,0,-2,1
12,27,-1,-70.6,-1,-1,3831,6,1,1,6,1
1,46,1,-76.0,1,1,1967,3,0,2,4,1
-1,52,0,12.2,1,0,1077,-1,0,2,25,1
-4,-6,0,-9.4,-1,-1,-1010,-1,-1,-1,52,0
-4,9,0,-31.4,1,0,55,1,-1,-1,2,1
6,26,2,-22.8,-1,1,1652,3,1,-2,22,1
0,-12,1,17.8,1,0,-358,0,0,3,0,1
2,-51,1,15.6,-1,1,-1973,-2,-2,1,129,1
4,13,1,7.8,1,-1,1884,4,-1,4,9,0
-1,-5,1,-6.4,1,1,-521,0,0,1,0,1
-2,17,-1,-35.4,1,0,-297,-1,0,-3,4,0
-7,9,-4,-18.6,-1,-1,-892,-3,-1,-2,-3,1
-3,28,-2,7.0,1,0,-611,-1,-1,0,3,0
-1,6,0,-10.6,1,0,381,0,2,-2,5,1
-4,-10,-1,-25.0,-1,0,-1050,-2,-1,1,3,0
3,5,1,1.0,-1,1,1708,4,1,0,4,0
-9,30,0,-62.4,-1,0,-1550,-7,1,1,17,0
4,22,1,-4.6,1,0,2804,9,0,0,-26,0
4,54,1,-21.0,-1,0,1358,1,1,-1,-2,1
-5,11,-1,-6.6,1,0,-1017,-3,1,-1,-7,0
-2,9,0,-92.8,1,0,-220,-2,1,-1,-5,1
3,-63,3,35.0,1,0,-757,2,0,-5,4,1
-5,-2,2,-69.8,-1,-1,-1943,-7,1,-3,-8,0
-8,-7,-2,-2.6,1,-1,-2343,-4,0,-2,0,0
4,19,1,3.4,-1,1,1203,2,0,-2,9,1
9,19,1,74.2,1,0,2676,4,0,4,21,1
-3,16,-2,16.6,-1,-1,45,0,0,-7,-9,1
8,-33,1,22.8,-1,-1,1002,3,0,2,17,1
0,14,2,17.6,1,-1,-210,-1,2,-2,121,1
-8,-2,-1,-29.4,-1,0,-1981,-5,0,-1,-1,0
-5,-31,-1,-76.2,-1,1,-2121,-3,-1,3,-4,0
5,-14,0,10.2,-1,0,1013,4,0,0,2,1
1,0,1,-9.4,-1,1,611,2,1,0,-2,1
-7,8,-1,12.6,1,0,-1274,-3,-1,1,-1,0
-1,18,-1,10.4,1,1,-1000,-4,2,-3,-4,0
2,-21,0,42.4,-1,1,213,1,1,2,-9,0
2,-39,1,-3.6,-1,0,-263,1,0,3,-5,1
5,42,-1,-26.0,1,0,2186,4,0,-1,4,1
-2,-26,1,-50.0,1,-1,-296,0,-1,1,0,0
-2,-13,0,8.6,-1,-1,818,2,0,-4,-18,0
0,-15,-2,9.4,1,0,-777,-1,2,-3,5,0
-6,28,-1,52.4,-1,-1,-454,-3,1,1,-130,0
-6,8,0,3.0,-1,0,-1848,-4,-1,0,5,0
-3,-5,3,15.0,-1,0,-623,-2,0,-1,2,1
5,25,0,79.0,-1,1,540,1,-2,2,-1,1
6,12,0,-18.0,-1,1,3755,8,2,5,-7,1
7,2,0,5.6,-1,0,1270,2,-1,1,-1,1
11,60,-1,-8.4,1,0,3286,8,-1,7,-3,1
-5,51,0,18.8,-1,0,-1083,-5,0,7,-6,1
5,25,1,-29.0,-1,0,1527,0,-1,-1,-10,0
1,-2,1,-4.2,1,0,285,1,-1,1,-1,1
8,21,0,-32.4,1,0,1812,5,0,-1,23,0
5,9,0,14.6,1,1,616,3,-2,-3,9,1
1,9,1,29.2,-1,-1,852,1,1,2,2,1
-1,-25,0,28.0,-1,0,-1385,-3,0,-1,-7,0
-3,-23,-1,-16.6,-1,0,-1367,-5,0,0,-3,0
-9,-73,0,111.8,1,-1,-3004,-5,-1,-1,0,0
5,31,0,-46.8,1,0,3099,7,1,0,19,1
0,-13,0,67.4,1,1,-1130,-3,1,2,-3,0
-1,28,1,4.8,-1,-1,1141,1,1,5,-13,1
-6,-67,-1,116.8,1,-1,-4510,-9,-5,-2,-1,0
-1,-60,-1,-0.4,1,0,-2654,0,-4,-2,14,0
-7,-10,2,-39.6,-1,-1,-3821,-8,-2,2,-4,0
3,10,0,25.0,-1,0,1329,4,0,-4,5,1
12,27,0,38.2,1,0,3955,8,2,1,0,1
1,42,0,2.4,-1,-1,1174,1,0,0,4,0
0,19,0,32.4,1,0,473,1,0,4,-3,1
11,21,0,98.8,1,-1,2834,5,2,-1,4,1
9,-7,1,-28.8,1,0,384,1,-1,1,-1,1
0,-47,-1,-36.0,-1,1,-467,3,-3,0,145,1
3,13,-1,3.2,1,0,1608,2,0,2,6,0
3,-39,0,29.4,1,-1,1080,4,0,1,-4,1
-1,-7,0,7.8,1,-1,-8,0,-2,2,-2,0
5,-1,-2,-36.4,1,0,1556,4,4,4,-1,1
0,10,1,-19.6,-1,-1,1317,1,3,6,-6,0
-3,-23,-1,13.0,-1,0,-718,-2,-1,0,-2,0
