matchId,blue_gold,red_gold,blue_cs,red_cs,blue_kills,red_kills,blue_deaths,red_deaths,blue_assists,red_assists,blue_dragons,red_dragons,blue_heralds,red_heralds,blue_wards_placed,red_wards_placed,blue_wards_killed,red_wards_killed,blue_towerplates,red_towerplates,first_blood_blue,first_blood_red,first_dragon_blue,first_dragon_red,first_tower_blue,first_tower_red,frames_used,duration_ms_covered,gold_diff,cs_diff,kill_diff,death_diff,assist_diff,dragon_diff,herald_diff,wards_placed_diff,wards_killed_diff,towerplates_diff
KR_7698957107,15266,16274,250,247,6,9,9,6,6,17,0,0,0,0,14,18,2,5,1,1,1,0,0,0,0,0,10,540164,-1008,3,-3,3,-11,0,0,-4,-3,0
KR_7698960473,14004,16203,244,271,3,6,6,3,3,5,1,0,0,0,19,17,1,4,2,3,1,0,1,0,0,0,10,540209,-2199,-27,-3,3,-2,1,0,2,-3,-1
KR_7698966877,13940,15512,234,262,5,6,6,5,5,5,0,0,0,0,16,25,3,1,0,1,1,0,0,0,0,0,10,540231,-1572,-28,-1,1,0,0,0,-9,2,-1
KR_7698986563,14959,14843,262,267,5,4,4,5,4,4,0,1,0,0,16,16,2,4,0,2,0,1,0,1,0,0,10,540250,116,-5,1,-1,0,-1,0,0,-2,-2
KR_7698995738,14763,16886,245,268,4,8,9,4,4,15,0,0,0,0,19,20,3,1,1,2,1,0,0,0,0,0,10,540226,-2123,-23,-4,5,-11,0,0,-1,2,-1
KR_7699005621,15538,14919,286,293,5,3,3,5,5,3,0,0,0,0,19,32,8,3,0,2,1,0,0,0,0,0,10,540226,619,-7,2,-2,2,0,0,-13,5,-2
KR_7699022880,16684,14896,285,285,7,4,4,7,11,2,1,0,0,0,19,18,2,4,2,0,0,1,1,0,0,0,10,540276,1788,0,3,-3,9,1,0,1,-2,2
KR_7699028562,15341,17053,249,259,4,8,8,4,9,15,0,0,0,0,18,16,1,8,2,4,1,0,0,0,0,0,10,540198,-1712,-10,-4,4,-6,0,0,2,-7,-2
KR_7699048840,14631,15592,264,258,3,5,5,3,5,11,0,0,0,0,17,15,1,1,3,2,0,1,0,0,0,0,10,540264,-961,6,-2,2,-6,0,0,2,0,1
KR_7699066337,15851,15668,230,279,8,5,5,8,9,2,0,0,0,0,18,19,3,2,2,2,1,0,0,0,0,0,10,540271,183,-49,3,-3,7,0,0,-1,1,0
KR_7699082598,16119,15102,228,248,9,5,5,9,16,10,0,0,0,0,18,22,6,4,0,0,1,0,0,0,0,0,10,540271,1017,-20,4,-4,6,0,0,-4,2,0
KR_7699505354,16164,14692,282,261,7,4,4,7,5,5,1,0,0,0,17,18,4,3,1,0,1,0,1,0,0,0,10,540277,1472,21,3,-3,0,1,0,-1,1,1
KR_7699549406,17005,15038,294,274,5,4,4,5,7,9,0,1,0,0,113,23,4,2,4,0,1,0,0,1,1,0,10,540276,1967,20,1,-1,-2,-1,0,90,2,4
KR_7699586470,15053,14492,291,260,3,3,3,3,7,4,0,0,0,0,18,20,2,3,1,0,1,0,0,0,0,0,10,540214,561,31,0,0,3,0,0,-2,-1,1
KR_7699799868,16948,14422,268,249,8,3,3,8,10,5,0,1,0,0,14,17,3,3,0,2,1,0,0,1,0,0,10,540218,2526,19,5,-5,5,-1,0,-3,0,-2
KR_7699850721,13766,14486,290,269,1,3,3,1,2,3,1,0,0,0,33,13,2,2,0,1,0,1,1,0,0,0,10,540243,-720,21,-2,2,-1,1,0,20,0,-1
KR_7699898655,15166,14464,228,274,7,3,3,7,6,2,0,0,0,0,16,13,1,2,0,0,1,0,0,0,0,0,10,540242,702,-46,4,-4,4,0,0,3,-1,0
KR_7699936739,15164,15416,253,278,5,5,5,5,5,4,0,1,0,0,13,9,2,4,0,4,0,1,0,1,0,0,10,540187,-252,-25,0,0,1,-1,0,4,-2,-4
KR_7700251585,17189,15388,238,264,11,6,6,11,10,11,1,0,0,0,17,16,2,1,1,0,0,1,1,0,0,0,10,540251,1801,-26,5,-5,-1,1,0,1,1,1
KR_7700389696,16525,15098,276,260,8,5,5,8,6,8,1,0,0,0,17,12,1,2,2,0,1,0,1,0,0,0,10,540275,1427,16,3,-3,-2,1,0,5,-1,2
KR_7700460029,6683,5432,91,68,2,1,1,2,4,0,0,0,0,0,7,3,0,0,1,0,1,0,0,0,0,0,5,224103,1251,23,1,-1,4,0,0,4,0,1
KR_7700461648,17515,13688,247,235,12,3,3,12,13,2,0,0,0,0,15,14,3,1,3,0,1,0,0,0,0,0,10,540245,3827,12,9,-9,11,0,0,1,2,3
KR_7700477467,16164,15135,249,257,9,5,5,9,16,7,0,0,0,0,20,22,2,5,1,0,0,1,0,0,0,0,10,540184,1029,-8,4,-4,9,0,0,-2,-3,1
KR_7700489228,17148,15620,274,239,10,6,6,10,15,7,1,0,0,0,16,17,6,2,0,0,1,0,1,0,0,0,10,540230,1528,35,4,-4,8,1,0,-1,4,0
KR_7700495610,14624,17092,265,296,5,6,6,5,5,10,0,1,0,0,16,16,1,5,0,2,1,0,0,1,0,0,10,540241,-2468,-31,-1,1,-5,-1,0,0,-4,-2
KR_7700511738,16281,14259,259,227,8,4,4,8,14,6,0,0,0,0,16,13,2,2,3,2,1,0,0,0,0,0,10,540254,2022,32,4,-4,8,0,0,3,0,1
KR_7700648010,15922,14210,273,291,6,2,2,6,7,0,1,0,0,0,22,17,3,2,0,0,1,0,1,0,0,0,10,540245,1712,-18,4,-4,7,1,0,5,1,0
KR_7700925893,16259,15131,270,254,8,6,6,8,8,6,0,0,0,0,15,14,5,1,0,1,1,0,0,0,0,0,10,540245,1128,16,2,-2,2,0,0,1,4,-1
KR_7700976336,15356,14089,302,275,3,3,3,3,3,3,0,1,0,0,17,16,4,3,1,0,0,1,0,1,0,0,10,540174,1267,27,0,0,0,-1,0,1,1,1
KR_7701021627,15578,15085,254,232,8,5,5,8,7,3,0,0,0,0,17,13,2,1,1,2,1,0,0,0,0,0,10,540205,493,22,3,-3,4,0,0,4,1,-1
KR_7701064209,16431,15993,264,290,6,6,6,6,9,9,1,0,0,0,33,15,6,3,2,1,0,1,1,0,0,0,10,540242,438,-26,0,0,0,1,0,18,3,1
KR_7701095531,13965,15064,244,281,4,4,4,4,3,4,0,0,0,0,17,115,1,4,0,1,1,0,0,0,0,0,10,540152,-1099,-37,0,0,-1,0,0,-98,-3,-1
KR_7701105386,15529,14679,232,214,7,6,6,7,13,8,0,0,0,0,17,18,2,1,0,0,0,1,0,0,0,0,10,540210,850,18,1,-1,5,0,0,-1,1,0
KR_7701120037,15286,13768,290,271,5,2,3,5,3,2,0,1,0,0,15,16,1,1,0,0,1,0,0,1,0,0,10,540201,1518,19,3,-2,1,-1,0,-1,0,0
KR_7701128115,15985,15931,268,236,7,7,7,7,4,7,0,0,0,0,15,14,4,3,1,0,1,0,0,0,0,0,10,540299,54,32,0,0,-3,0,0,1,1,1
KR_7701138493,15675,15668,256,283,7,5,5,7,10,5,1,0,0,0,25,17,3,4,0,1,1,0,1,0,0,0,10,540232,7,-27,2,-2,5,1,0,8,-1,-1
KR_7701282661,14866,14008,253,258,5,3,3,5,5,5,0,1,0,0,13,23,5,3,1,1,1,0,0,1,0,0,10,540219,858,-5,2,-2,0,-1,0,-10,2,0
KR_7701309939,18446,16021,270,240,13,7,7,13,13,10,1,0,0,0,21,13,1,5,3,0,1,0,1,0,0,0,10,540217,2425,30,6,-6,3,1,0,8,-4,3
KR_7701339936,16906,16235,249,222,10,9,9,10,16,10,1,0,0,0,18,18,2,5,1,0,1,0,1,0,0,0,10,540277,671,27,1,-1,6,1,0,0,-3,1
KR_7701392460,17313,14733,243,259,11,4,4,11,11,3,0,0,0,0,21,16,4,2,0,0,1,0,0,0,0,0,10,540278,2580,-16,7,-7,8,0,0,5,2,0
KR_7701548961,15182,16169,291,257,4,7,7,4,4,11,1,0,0,0,18,33,5,4,0,1,1,0,1,0,0,0,10,540204,-987,34,-3,3,-7,1,0,-15,1,-1
KR_7701600177,14621,17844,273,299,4,8,8,4,4,6,0,1,0,0,18,42,4,4,0,2,0,1,0,1,0,0,10,540198,-3223,-26,-4,4,-2,-1,0,-24,0,-2
KR_7701629529,16400,15842,237,257,10,6,6,10,8,5,0,0,0,0,14,13,3,1,0,2,1,0,0,0,0,0,10,540194,558,-20,4,-4,3,0,0,1,2,-2
KR_7701675062,17421,14762,257,255,11,4,4,11,14,4,0,0,0,0,16,29,2,5,1,0,1,0,0,0,0,0,10,540230,2659,2,7,-7,10,0,0,-13,-3,1
KR_7701722647,16306,18316,284,272,6,11,11,6,9,21,0,1,0,0,15,36,5,1,1,1,0,1,0,1,0,0,10,540239,-2010,12,-5,5,-12,-1,0,-21,4,0
KR_7701737900,15595,16774,297,296,5,6,6,5,3,8,0,0,0,0,16,38,4,4,0,0,0,1,0,0,0,0,10,540264,-1179,1,-1,1,-5,0,0,-22,0,0
KR_7701793333,15707,15837,291,274,5,6,6,5,6,11,0,1,0,0,15,20,2,4,0,1,1,0,0,1,0,0,10,540207,-130,17,-1,1,-5,-1,0,-5,-2,-1
KR_7701813634,16387,18324,255,265,7,13,13,7,5,16,0,1,0,0,13,18,3,3,1,0,0,1,0,1,0,0,10,540262,-1937,-10,-6,6,-11,-1,0,-5,0,1
KR_7701845532,16243,13472,296,288,5,0,0,5,6,0,1,0,0,0,18,14,2,6,1,1,1,0,1,0,0,0,10,540256,2771,8,5,-5,6,1,0,4,-4,0
KR_7701845658,15877,15112,253,265,6,5,5,6,7,9,0,0,0,0,16,19,3,5,1,0,1,0,0,0,0,0,10,540241,765,-12,1,-1,-2,0,0,-3,-2,1
KR_7701882880,14815,16208,259,294,4,5,5,4,4,6,0,1,0,0,18,14,3,1,0,2,0,1,0,1,0,0,10,540210,-1393,-35,-1,1,-2,-1,0,4,2,-2
KR_7701906058,16252,14910,262,254,8,5,5,8,10,11,0,1,0,0,23,50,0,3,1,0,1,0,0,1,0,0,10,540217,1342,8,3,-3,-1,-1,0,-27,-3,1
KR_7701944219,15722,15764,274,289,6,5,5,6,5,7,1,0,0,0,14,19,5,3,2,1,1,0,1,0,0,0,10,540204,-42,-15,1,-1,-2,1,0,-5,2,1
KR_7701957688,15844,14354,298,308,4,1,1,4,10,3,0,1,0,0,17,92,4,5,0,3,1,0,0,1,0,0,10,540253,1490,-10,3,-3,7,-1,0,-75,-1,-3
KR_7701993085,15569,15444,232,276,8,7,7,8,9,2,0,0,0,0,14,188,3,2,0,0,0,1,0,0,0,0,10,540255,125,-44,1,-1,7,0,0,-174,1,0
KR_7702000330,16885,15973,256,252,8,6,6,8,11,6,0,0,0,0,16,22,7,4,0,2,0,1,0,0,0,0,10,540270,912,4,2,-2,5,0,0,-6,3,-2
KR_7702076315,15957,15603,283,266,7,6,7,8,6,7,0,1,0,0,19,109,0,3,0,0,1,0,0,1,0,0,10,540217,354,17,1,-1,-1,-1,0,-90,-3,0
KR_7702083416,14278,17352,230,265,5,12,12,5,4,10,1,0,0,0,12,164,3,3,0,3,0,1,1,0,0,0,10,540162,-3074,-35,-7,7,-6,1,0,-152,0,-3
KR_7702124408,14789,16178,240,241,5,8,8,5,10,10,0,0,0,0,23,19,2,0,1,0,0,1,0,0,0,0,10,540234,-1389,-1,-3,3,0,0,0,4,2,1
KR_7702204787,15314,15147,264,270,6,5,5,6,10,6,1,0,0,0,17,18,6,2,0,0,1,0,1,0,0,0,10,540249,167,-6,1,-1,4,1,0,-1,4,0
KR_7702251607,14457,15145,293,294,2,4,4,2,3,8,0,0,0,0,14,16,4,5,0,0,1,0,0,0,0,0,10,540205,-688,-1,-2,2,-5,0,0,-2,-1,0
KR_7702284434,17342,16757,291,282,8,8,8,8,9,7,0,0,0,0,15,101,2,5,2,0,1,0,0,0,0,0,10,540276,585,9,0,0,2,0,0,-86,-3,2
KR_7702319223,14749,16135,264,254,5,7,7,5,3,10,1,0,0,0,18,14,3,2,0,4,0,1,1,0,0,0,10,540233,-1386,10,-2,2,-7,1,0,4,1,-4
KR_7702339739,15620,16428,272,263,5,8,8,6,8,10,0,0,0,0,32,43,1,4,0,2,0,1,0,0,0,0,10,540168,-808,9,-3,2,-2,0,0,-11,-3,-2
KR_7702354987,14153,15054,252,253,3,6,7,3,3,15,0,1,0,0,15,16,2,3,1,1,0,1,0,1,0,0,10,540270,-901,-1,-3,4,-12,-1,0,-1,-1,0
KR_7702364871,15069,15680,251,226,5,7,7,6,4,13,0,0,0,0,18,16,4,3,1,0,0,1,0,0,0,0,10,540221,-611,25,-2,1,-9,0,0,2,1,1
KR_7702413739,14355,15422,225,255,5,6,6,5,7,6,0,0,0,0,18,20,2,1,0,3,0,1,0,0,0,0,10,540222,-1067,-30,-1,1,1,0,0,-2,1,-3
KR_7702429145,14588,15474,244,248,4,6,6,4,6,7,1,0,0,0,12,18,7,2,0,3,0,1,1,0,0,0,10,540276,-886,-4,-2,2,-1,1,0,-6,5,-3
KR_7702431873,16438,13772,267,252,8,2,2,8,8,1,0,0,0,0,20,13,3,3,1,0,1,0,0,0,0,0,10,540247,2666,15,6,-6,7,0,0,7,0,1
KR_7702452186,15083,14246,281,276,3,3,3,3,4,3,0,0,0,0,18,23,5,2,2,0,0,1,0,0,0,0,10,540228,837,5,0,0,1,0,0,-5,3,2
KR_7702460810,15384,14478,242,279,6,3,3,6,12,9,0,1,0,0,15,20,4,7,0,0,1,0,0,1,0,0,10,540217,906,-37,3,-3,3,-1,0,-5,-3,0
KR_7702624728,16039,14158,261,262,8,3,3,8,13,5,0,1,0,0,40,14,3,10,1,2,0,1,0,1,0,0,10,540215,1881,-1,5,-5,8,-1,0,26,-7,-1
KR_7702653627,17010,14808,276,259,9,4,4,9,13,2,0,0,0,0,35,18,4,5,0,0,1,0,0,0,0,0,10,540245,2202,17,5,-5,11,0,0,17,-1,0
KR_7702688994,16979,14825,247,281,11,3,3,11,11,3,0,0,0,0,18,15,3,4,0,0,1,0,0,0,0,0,10,540232,2154,-34,8,-8,8,0,0,3,-1,0
KR_7702711227,14646,15373,263,285,4,5,5,4,6,4,0,1,0,0,15,14,2,4,2,0,0,1,0,1,0,0,10,540239,-727,-22,-1,1,2,-1,0,1,-2,2
KR_7702759119,15885,13891,280,269,5,2,2,5,7,4,1,0,0,0,13,17,3,0,1,0,0,1,1,0,0,0,10,540216,1994,11,3,-3,3,1,0,-4,3,1
KR_7702812650,15422,15246,289,293,5,5,5,5,5,5,0,0,0,0,21,15,4,3,0,0,0,1,0,0,0,0,10,540246,176,-4,0,0,0,0,0,6,1,0
KR_7702839932,15093,14131,249,259,6,3,3,6,7,3,0,0,0,0,34,16,9,0,0,0,1,0,0,0,0,0,10,540207,962,-10,3,-3,4,0,0,18,9,0
KR_7702946357,14493,13635,297,286,2,1,1,2,1,1,1,0,0,0,20,18,4,1,1,0,0,1,1,0,0,0,10,540273,858,11,1,-1,0,1,0,2,3,1
KR_7703228900,15718,16160,290,274,6,6,6,6,8,6,0,0,0,0,17,19,9,3,1,0,1,0,0,0,0,0,10,540274,-442,16,0,0,2,0,0,-2,6,1
KR_7703295296,2525,2549,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,3,102050,-24,0,0,0,0,0,0,-2,0,0
KR_7703306797,14802,15425,263,283,4,4,4,4,9,7,0,0,0,0,15,16,5,4,1,3,1,0,0,0,0,0,10,540257,-623,-20,0,0,2,0,0,-1,1,-2
KR_7703385211,14504,13974,217,232,6,3,3,6,5,5,0,0,0,0,17,16,5,0,0,3,1,0,0,0,0,0,10,540231,530,-15,3,-3,0,0,0,1,5,-3
KR_7703390010,14528,13935,284,281,2,2,2,2,1,1,1,0,0,0,14,127,3,6,0,0,0,1,1,0,0,0,10,540289,593,3,0,0,0,1,0,-113,-3,0
KR_7703421061,16306,15402,268,248,8,5,5,8,6,7,0,0,0,0,30,15,2,3,0,2,1,0,0,0,0,0,10,540214,904,20,3,-3,-1,0,0,15,-1,-2
KR_7703469167,15500,14026,272,261,6,2,2,6,8,3,1,0,0,0,15,19,1,2,0,0,0,1,1,0,0,0,10,540214,1474,11,4,-4,5,1,0,-4,-1,0
KR_7703544779,14283,15620,263,292,3,4,4,3,3,5,0,0,0,0,15,14,3,3,0,0,0,1,0,0,0,0,10,540222,-1337,-29,-1,1,-2,0,0,1,0,0
KR_7703574087,15690,14778,301,272,4,3,3,4,6,5,0,0,0,0,13,21,2,2,2,0,1,0,0,0,0,0,10,540190,912,29,1,-1,1,0,0,-8,0,2
KR_7703594565,16328,14685,299,281,6,3,3,6,6,5,0,0,0,0,17,13,3,3,2,1,1,0,0,0,0,0,10,540246,1643,18,3,-3,1,0,0,4,0,1
KR_7703649361,15880,14491,289,252,7,4,5,7,8,3,0,0,0,0,15,28,4,4,0,0,1,0,0,0,0,0,10,540251,1389,37,3,-2,5,0,0,-13,0,0
KR_7703941158,16511,12925,267,240,8,2,2,8,9,0,1,0,0,0,17,10,2,1,2,0,1,0,1,0,0,0,10,540294,3586,27,6,-6,9,1,0,7,1,2
KR_7704237472,14534,15542,282,265,4,6,6,4,0,8,0,1,0,0,18,11,1,6,0,0,0,1,0,1,0,0,10,540236,-1008,17,-2,2,-8,-1,0,7,-5,0
KR_7704265700,14395,16398,259,255,2,8,8,2,2,7,0,0,0,0,290,17,2,2,0,1,0,1,0,0,0,0,10,540241,-2003,4,-6,6,-5,0,0,273,0,-1
KR_7704324213,16393,13961,270,256,9,2,2,9,13,3,0,1,0,0,15,17,4,2,2,3,1,0,0,1,0,0,10,540249,2432,14,7,-7,10,-1,0,-2,2,-1
